id,pump_code,test_name,vacuum,adjusting_time,measuring_time,motor_speed,target_pressure,min_direct_flow,max_direct_flow,min_back_flow,max_back_flow,regulator_current,pcv_current,calibration_min_i,calibration_max_i,calibration_i1,calibration_i2,calibration_i_offset,is_custom
8965,0 986 437 501,1,FALSE,60,,500,0,,,,,0,,,,,,,FALSE
8966,0 986 437 501,2,FALSE,60,,2000,500,,,,,0,,,,,,,FALSE
8967,0 986 437 501,7,FALSE,10,20,1000,1350,28.8,34.2,,,0,,,,,,,FALSE
8968,0 986 437 501,8,FALSE,10,20,1000,1350,18,24,,,0.4,,,,,,,FALSE
8969,0 986 437 502,1,FALSE,60,,500,0,,,,,0,,,,,,,FALSE
8970,0 986 437 502,2,FALSE,60,,2000,500,,,,,0,,,,,,,FALSE
8971,0 986 437 502,7,FALSE,10,20,1000,1350,32.4,37.8,,,0,,,,,,,FALSE
8972,0 986 437 502,8,FALSE,10,20,1000,1350,20.4,26.4,,,0.4,,,,,,,FALSE
8973,03L130755AH,1,FALSE,60,,500,0,,,,,1.7,,,,,,,FALSE
8974,03L130755AH,2,TRUE,60,,2000,500,,,,,1.7,,,,,,,FALSE
8975,03L130755AH,5,TRUE,10,20,120,250,1.8,,,,1.7,,,,,,,FALSE
8976,03L130755AH,6,TRUE,10,20,120,1000,1.2,4.2,,,1.7,,,,,,,FALSE
8977,03L130755AH,7,TRUE,10,20,1500,1600,40.2,53.4,,,1.7,,,,,,,FALSE
8978,03L130755AH,8,TRUE,10,20,2500,500,81,91.8,24,46.02,1.7,,,,,,,FALSE
8979,03L130755AH,10,TRUE,10,20,2500,500,66,77.4,,,1.4,,,,,,,FALSE
8980,03L130755AH,11,TRUE,10,20,2500,500,5.4,20.4,,,0.7,,,,,,,FALSE
8981,03L130755AH,12,TRUE,10,20,2500,500,2.4,5.4,,,0.54,,,,,,,FALSE
8982,03L130755AH,13,TRUE,10,20,2500,0,0,0.72,,,0,,,,,,,FALSE
8983,03L130755AJ,1,FALSE,60,,500,0,,,,,1.7,,,,,,,FALSE
8984,03L130755AJ,2,FALSE,60,,2000,500,,,,,1.7,,,,,,,FALSE
8985,03L130755AJ,5,FALSE,10,20,120,250,2.4,,,,1.7,,,,,,,FALSE
8986,03L130755AJ,6,FALSE,10,20,120,1000,2.4,4.8,,,1.7,,,,,,,FALSE
8987,03L130755AJ,7,FALSE,10,20,1500,1600,43.8,53.4,,,1.7,,,,,,,FALSE
8988,03L130755AJ,8,FALSE,10,20,2500,500,81,91.8,24,46.02,1.7,,,,,,,FALSE
8989,03L130755AJ,10,FALSE,10,20,2500,500,72,85.2,,,1.4,,,,,,,FALSE
8990,03L130755AJ,11,FALSE,10,20,2500,500,7.2,22.2,,,0.7,,,,,,,FALSE
8991,03L130755AJ,12,FALSE,10,20,2500,500,4.2,7.2,,,0.54,,,,,,,FALSE
8992,03L130755AJ,13,FALSE,10,20,2500,0,0,0.72,,,0,,,,,,,FALSE
8993,03L130755AL,1,FALSE,60,,500,0,,,,,1.7,,,,,,,FALSE
8994,03L130755AL,2,TRUE,60,,2000,500,,,,,1.7,,,,,,,FALSE
8995,03L130755AL,5,TRUE,10,20,120,250,1.8,,,,1.7,,,,,,,FALSE
8996,03L130755AL,6,TRUE,10,20,120,1000,1.2,4.2,,,1.7,,,,,,,FALSE
8997,03L130755AL,7,TRUE,10,20,1500,1600,40.2,53.4,,,1.7,,,,,,,FALSE
8998,03L130755AL,8,TRUE,10,20,2500,500,81,91.8,24,46.02,1.7,,,,,,,FALSE
8999,03L130755AL,10,TRUE,10,20,2500,500,66,77.4,,,1.4,,,,,,,FALSE
